filename,route,fold,stratum,px_green_roof,px_drivhus,px_betonflade,px_brosten,n_scored_px,n_classes_present
O2021_84_40_1_0038_00060852_0_5000.tif,84-40,0,weak_present,0,3364,0,0,553697,5
O2021_84_40_1_0047_00073810_3000_2000.tif,84-40,0,weak_present,0,0,0,174319,469335,4
O2023_84_40_1_0152_00103340_0_7000.tif,84-40,0,weak_present,0,0,61909,0,61909,1
O2023_84_40_1_0211_00112306_3000_1000.tif,84-40,0,weak_present,0,0,0,7848,631856,5
O2021_84_40_1_0040_00092536_2000_2000.tif,84-40,0,weak_present,0,0,0,1420,539884,5
O2021_84_40_1_0047_00073818_6000_5000.tif,84-40,0,weak_present,0,0,0,160897,249368,3
O2023_84_40_1_0211_00112306_6000_4000.tif,84-40,0,weak_present,0,0,0,86681,504442,5
O2021_84_40_1_0049_00073002_3000_1000.tif,84-40,0,weak_present,0,0,0,49737,350710,5
O2023_84_40_1_0211_00112309_5000_3000.tif,84-40,0,weak_present,0,0,0,587,288143,5
O2021_84_40_1_0038_00060852_4000_2000.tif,84-40,0,weak_present,0,469,0,4426,91800,6
O2021_84_40_1_0037_00084312_5000_2000.tif,84-40,0,weak_present,0,0,0,878,144625,5
O2021_84_40_1_0044_00082841_8080_3000.tif,84-40,0,weak_present,0,0,0,104403,169260,4
O2021_84_40_1_0047_00073810_7000_0.tif,84-40,0,weak_present,0,0,0,305399,564449,4
O2023_84_40_1_0152_00103347_1000_3000.tif,84-40,0,weak_present,0,0,26356,0,26356,1
O2021_84_40_1_0047_00073815_7000_3000.tif,84-40,0,weak_present,0,0,0,71014,85387,2
O2021_84_40_1_0039_00062710_0_2000.tif,84-40,0,weak_present,0,3278,0,7294,576852,6
O2021_83_31_1_0041_00093557_6000_0.tif,83-31,0,complement,0,0,0,0,887548,1
O2023_84_40_1_0140_00060503_8710_2000.tif,84-40,0,complement,0,0,0,0,75710,2
O2021_84_40_1_0051_00072017_5000_0.tif,84-40,0,complement,0,0,0,0,142538,2
O2021_84_40_1_0042_00090003_1000_1000.tif,84-40,0,complement,0,0,0,0,999163,3
O2023_84_40_1_0151_00104027_3000_2000.tif,84-40,0,complement,0,0,0,0,1000000,1
O2023_84_40_1_0125_00092547_8000_0.tif,84-40,0,complement,0,0,0,0,992831,2
O2021_84_40_1_0044_00082852_6000_1000.tif,84-40,0,complement,0,0,0,0,244586,3
O2021_83_31_1_0042_00092144_2000_2000.tif,83-31,0,complement,0,0,0,0,1000000,1
O2023_84_40_1_0146_00110505_2000_2000.tif,84-40,0,complement,0,0,0,0,435171,3
O2021_83_31_1_0043_00091110_8000_2000.tif,83-31,0,complement,0,0,0,0,1000000,1
O2023_85_48_1_0052_00000184_3000_3000.tif,85-48,0,complement,0,0,0,0,10249,1
O2023_84_40_1_0206_00115134_2000_5000.tif,84-40,0,complement,0,0,0,0,9053,1
O2023_84_40_1_0127_00085831_2000_4000.tif,84-40,0,complement,0,0,0,0,35496,1
