filename,route,year,parent,tile_i,tile_j,fold,easting,northing,centroid_e,centroid_n,n_scored_px,n_predicted_classes_present,px_unknown,px_asfalt,px_fliser,px_grus,px_ubefestet,px_green_roof,px_drivhus,px_betonflade,px_brosten,px_unknown2,px_solceller,present_unknown,present_asfalt,present_fliser,present_grus,present_ubefestet,present_green_roof,present_drivhus,present_betonflade,present_brosten,present_unknown2,present_solceller
O2021_82_11_1_0023_00003029_0_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,0,1,460909.0,6257602.0,460959.0,6257552.0,102175,2,897825,0,0,4459,97716,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,1000,1,460909.0,6257502.0,460959.0,6257452.0,103732,2,896268,0,0,5214,98518,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,2000,1,460909.0,6257402.0,460959.0,6257352.0,109591,1,890409,0,0,0,109591,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_3000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,3000,1,460909.0,6257302.0,460959.0,6257252.0,115363,1,884637,0,0,0,115363,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_4000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,4000,1,460909.0,6257202.0,460959.0,6257152.0,121093,1,878907,0,0,0,121093,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_5000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,5000,1,460909.0,6257102.0,460959.0,6257052.0,126824,1,873176,0,0,0,126824,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_6000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,6000,1,460909.0,6257002.0,460959.0,6256952.0,132564,1,867436,0,0,0,132564,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_0_7000.tif,82-11,2021,O2021_82_11_1_0023_00003029,0,7000,1,460909.0,6256962.0,460959.0,6256912.0,134864,1,865136,0,0,0,134864,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,0,1,461909.0,6257602.0,461959.0,6257552.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,1000,1,461909.0,6257502.0,461959.0,6257452.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,2000,1,461909.0,6257402.0,461959.0,6257352.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_3000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,3000,1,461909.0,6257302.0,461959.0,6257252.0,1000000,2,0,0,0,21299,978701,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_4000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,4000,1,461909.0,6257202.0,461959.0,6257152.0,1000000,2,0,0,0,55576,944424,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_5000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,5000,1,461909.0,6257102.0,461959.0,6257052.0,1000000,2,0,0,0,56749,943251,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_6000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,6000,1,461909.0,6257002.0,461959.0,6256952.0,1000000,2,0,0,0,24432,975568,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10000_7000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10000,7000,1,461909.0,6256962.0,461959.0,6256912.0,999944,2,56,0,0,14135,985809,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,0,1,461009.0,6257602.0,461059.0,6257552.0,999039,2,961,0,0,80407,918632,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,1000,1,461009.0,6257502.0,461059.0,6257452.0,999923,2,77,0,0,6405,993518,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,2000,1,461009.0,6257402.0,461059.0,6257352.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_3000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,3000,1,461009.0,6257302.0,461059.0,6257252.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_4000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,4000,1,461009.0,6257202.0,461059.0,6257152.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_5000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,5000,1,461009.0,6257102.0,461059.0,6257052.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_6000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,6000,1,461009.0,6257002.0,461059.0,6256952.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_1000_7000.tif,82-11,2021,O2021_82_11_1_0023_00003029,1000,7000,1,461009.0,6256962.0,461059.0,6256912.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,1000,1,462005.0,6257502.0,462055.0,6257452.0,1000000,2,0,0,0,48603,951397,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,2000,1,462005.0,6257402.0,462055.0,6257352.0,1000000,2,0,0,0,58714,941286,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_3000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,3000,1,462005.0,6257302.0,462055.0,6257252.0,1000000,2,0,0,0,37997,962003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_4000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,4000,1,462005.0,6257202.0,462055.0,6257152.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_5000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,5000,1,462005.0,6257102.0,462055.0,6257052.0,998834,1,1166,0,0,0,998834,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_6000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,6000,1,462005.0,6257002.0,462055.0,6256952.0,894000,1,106000,0,0,0,894000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_10960_7000.tif,82-11,2021,O2021_82_11_1_0023_00003029,10960,7000,1,462005.0,6256962.0,462055.0,6256912.0,894000,1,106000,0,0,0,894000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_11000_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,11000,0,1,462005.0,6257602.0,462055.0,6257552.0,1000000,2,0,0,0,1039,998961,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,0,1,461109.0,6257602.0,461159.0,6257552.0,998574,2,1426,0,0,29581,968993,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,1000,1,461109.0,6257502.0,461159.0,6257452.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,2000,1,461109.0,6257402.0,461159.0,6257352.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_3000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,3000,1,461109.0,6257302.0,461159.0,6257252.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_4000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,4000,1,461109.0,6257202.0,461159.0,6257152.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_5000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,5000,1,461109.0,6257102.0,461159.0,6257052.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_6000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,6000,1,461109.0,6257002.0,461159.0,6256952.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_2000_7000.tif,82-11,2021,O2021_82_11_1_0023_00003029,2000,7000,1,461109.0,6256962.0,461159.0,6256912.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_3000_0.tif,82-11,2021,O2021_82_11_1_0023_00003029,3000,0,1,461209.0,6257602.0,461259.0,6257552.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_3000_1000.tif,82-11,2021,O2021_82_11_1_0023_00003029,3000,1000,1,461209.0,6257502.0,461259.0,6257452.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2021_82_11_1_0023_00003029_3000_2000.tif,82-11,2021,O2021_82_11_1_0023_00003029,3000,2000,1,461209.0,6257402.0,461259.0,6257352.0,1000000,1,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
